0,1,2,3,4,5,6,target
-1.4719,-73.412,7.5306,-109.58,-0.041327,-2.9796,0.42347,-4.4459
-2.4719,-124.41,-4.4694,-557.58,-3.0413,4.0204,1.4235,0.25408
-1.4719,-86.412,-11.469,-586.58,-0.041327,-1.9796,1.4235,2.5541
-1.4719,-78.412,-29.469,-731.58,-1.5413,-1.9796,0.42347,2.5541
-1.4719,-103.41,-37.469,-982.58,0.65867,6.0204,1.4235,14.554
-1.4719,-97.412,-29.469,-712.58,2.6587,1.0204,1.4235,2.5541
2.5281,123.59,45.531,1479.4,-2.0413,-1.9796,-0.57653,-9.4459
2.5281,123.59,45.531,1099.4,-1.5413,-3.9796,-0.57653,-9.4459
-1.4719,-87.412,-32.469,-687.58,1.4587,4.0204,1.4235,8.9541
0.52806,55.588,-32.469,454.42,5.4587,-0.97959,-0.57653,-8.4459
-1.4719,-104.41,-34.469,-1040.6,-1.5413,-0.97959,0.42347,5.5541
-1.4719,-74.412,-16.469,292.42,6.3587,0.020408,0.42347,-4.4459
2.5281,234.59,103.53,1655.4,-4.5413,-3.9796,-0.57653,-12.446
-0.47194,-73.412,-37.469,-27.584,4.3587,4.0204,0.42347,12.954
-1.4719,-43.412,-14.469,-307.58,0.45867,3.0204,-0.57653,4.9541
2.5281,156.59,47.531,1237.4,-2.7413,0.020408,-0.57653,-8.9459
0.52806,30.588,-9.4694,286.42,0.45867,-0.97959,-0.57653,-4.4459
-1.4719,-90.412,-9.4694,-602.58,1.9587,-5.9796,0.42347,1.5541
2.5281,123.59,30.531,852.42,-0.34133,3.0204,-0.57653,-5.2459
-1.4719,-103.41,-36.469,-992.58,0.45867,5.0204,1.4235,10.654
-1.4719,-113.41,-44.469,-1217.6,0.55867,5.0204,1.4235,11.654
-1.4719,-97.412,-50.469,-723.58,7.9587,-3.9796,0.42347,-0.44592
-1.4719,-111.41,-43.469,-974.58,3.4587,-1.9796,1.4235,8.5541
-1.4719,-97.412,-44.469,-1143.6,3.4587,-4.9796,0.42347,3.5541
0.52806,3.588,-9.4694,124.42,0.95867,-1.9796,-0.57653,-3.4459
-1.4719,-81.412,-9.4694,-749.58,-1.5413,-4.9796,1.4235,1.5541
2.5281,123.59,45.531,1520.4,-1.0413,-0.97959,-0.57653,-7.4459
2.5281,109.59,45.531,914.42,-3.0413,-3.9796,-0.57653,-8.4459
-1.4719,-43.412,-14.469,-299.58,0.95867,4.0204,-0.57653,4.5541
-1.4719,-60.412,-14.469,-266.58,-0.041327,4.0204,1.4235,6.3541
-1.4719,-97.412,-26.469,-1037.6,-1.0413,1.0204,0.42347,5.5541
2.5281,156.59,33.531,977.42,-2.3413,3.0204,-0.57653,-6.9459
0.52806,37.588,-14.469,232.42,1.6587,2.0204,-0.57653,-4.0459
0.52806,-49.412,-28.469,182.42,4.0587,5.0204,0.42347,7.2541
-1.4719,-54.412,-18.469,-187.58,0.058673,6.0204,-0.57653,3.5541
-1.4719,-96.412,-34.469,-852.58,1.7587,6.0204,-0.57653,12.554
-1.4719,-86.412,-29.469,-627.58,1.2587,5.0204,1.4235,8.9541
2.5281,155.59,75.531,686.42,-4.5413,-2.9796,-0.57653,-12.446
0.52806,-26.412,11.531,-77.584,-2.9413,5.0204,1.4235,1.9541
0.52806,-38.412,17.531,-170.58,-2.0413,-2.9796,1.4235,-3.4459
2.5281,155.59,40.531,1010.4,-2.5413,-2.9796,-0.57653,-10.446
-1.4719,-59.412,-20.469,-682.58,-3.9413,6.0204,-0.57653,8.5541
-1.4719,-115.41,-37.469,-1027.6,3.4587,-1.9796,1.4235,7.5541
0.52806,-13.412,5.5306,-32.584,0.85867,6.0204,-0.57653,1.5541
-1.4719,-60.412,-8.4694,-275.58,-2.0413,-0.97959,1.4235,0.55408
2.5281,260.59,120.53,1447.4,-5.5413,-5.9796,-0.57653,-9.4459
0.52806,30.588,0.53061,143.42,0.95867,-2.9796,-0.57653,-5.4459
-1.4719,-96.412,-21.469,-902.58,0.35867,1.0204,-0.57653,10.054
-1.4719,-54.412,-32.469,-569.58,3.4587,-4.9796,-0.57653,-1.4459
2.5281,109.59,45.531,694.42,-4.0413,-2.9796,-0.57653,-9.4459
0.52806,37.588,-4.4694,-188.58,-0.54133,-2.9796,-0.57653,-5.4459
-1.4719,-72.412,-18.469,-582.58,0.45867,-3.9796,-0.57653,-1.4459
-1.4719,-96.412,-25.469,-722.58,2.1587,0.020408,-0.57653,2.5541
-1.4719,-115.41,-37.469,-977.58,0.45867,-1.9796,0.42347,7.5541
-1.4719,-109.41,-34.469,-1032.6,1.2587,1.0204,1.4235,10.054
2.5281,165.59,110.53,1637.4,-1.5413,-5.9796,-0.57653,-13.446
2.5281,155.59,75.531,1521.4,-3.0413,-2.9796,-0.57653,-11.446
-0.47194,-63.412,-1.4694,-147.58,0.35867,2.0204,0.42347,-3.1459
0.52806,4.588,-14.469,-329.58,-0.54133,-5.9796,-0.57653,-2.4459
2.5281,67.588,5.5306,243.42,-2.0413,-0.97959,-0.57653,-3.4459
-1.4719,-73.412,-6.4694,-32.584,-1.0413,-0.97959,0.42347,-1.4459
0.52806,55.588,-16.469,161.42,-1.0413,-4.9796,-0.57653,-5.4459
2.5281,123.59,45.531,1118.4,-2.5413,-4.9796,-0.57653,-9.4459
2.5281,155.59,50.531,1382.4,-0.64133,3.0204,-0.57653,-6.5459
2.5281,245.59,110.53,1334.4,-7.0413,-5.9796,-0.57653,-9.4459
2.5281,112.59,25.531,526.42,-3.5413,-5.9796,-0.57653,-5.4459
-1.4719,-81.412,-9.4694,-605.58,-0.54133,-5.9796,1.4235,0.55408
2.5281,107.59,25.531,1317.4,-0.64133,1.0204,-0.57653,-8.4459
2.5281,156.59,48.531,1176.4,-2.0413,-4.9796,-0.57653,-9.4459
-1.4719,-96.912,-24.469,-851.58,1.4587,-3.9796,-0.57653,1.5541
0.52806,63.588,5.5306,-15.584,-2.0413,-4.9796,-0.57653,-5.4459
-1.4719,-108.41,-39.469,-867.58,2.3587,4.0204,1.4235,23.154
2.5281,205.59,45.531,1486.4,-3.5413,-2.9796,-0.57653,-10.446
-0.47194,-11.412,-27.469,552.42,4.5587,3.0204,0.42347,1.9541
2.5281,205.59,70.531,1486.4,-4.0413,-4.9796,-0.57653,-9.4459
-1.4719,-97.412,-29.469,-806.58,0.45867,-0.97959,1.4235,5.5541
0.52806,-26.412,27.531,-67.584,-4.1413,4.0204,1.4235,9.2541
2.5281,110.59,35.531,1237.4,-2.5413,0.020408,-0.57653,-5.9459
2.5281,145.59,55.531,631.42,-7.5413,-5.9796,-0.57653,-9.4459
-1.4719,-123.41,-39.469,-1141.6,5.4587,-1.9796,1.4235,8.5541
2.5281,72.588,20.531,627.42,-0.54133,3.0204,-0.57653,-4.2459
-1.4719,-59.412,-20.469,-592.58,-2.6413,5.0204,-0.57653,6.5541
2.5281,155.59,60.531,1296.4,-3.5413,-3.9796,-0.57653,-10.446
0.52806,36.588,5.5306,437.42,0.25867,5.0204,-0.57653,-1.0459
-1.4719,-38.412,0.53061,-232.58,1.1587,2.0204,-0.57653,-0.24592
0.52806,3.588,-9.4694,-144.58,-0.041327,-5.9796,-0.57653,-1.4459
2.5281,165.59,45.531,962.42,-2.5413,3.0204,-0.57653,-4.9459
-1.4719,-109.41,-34.469,-987.58,1.4587,0.020408,1.4235,8.5541
-1.4719,-48.412,-37.469,272.42,6.2587,4.0204,0.42347,6.5541
-1.4719,-97.412,-12.469,-689.58,1.4587,-3.9796,1.4235,4.5541
-1.4719,-122.41,-35.469,-1364.6,2.4587,-4.9796,1.4235,11.554
-1.4719,-75.412,-7.4694,-432.58,1.4587,-0.97959,1.4235,0.55408
-1.4719,-115.41,-37.469,-1014.6,-0.041327,-1.9796,0.42347,2.5541
2.5281,205.59,65.531,1768.4,-3.5413,-4.9796,-0.57653,-10.446
2.5281,107.59,25.531,892.42,-0.54133,0.020408,-0.57653,-10.446
-1.4719,-87.412,-29.469,-767.58,-1.1413,5.0204,1.4235,10.254
2.5281,156.59,53.531,1385.4,-2.5413,-2.9796,-0.57653,-10.446
-1.4719,-104.41,-29.469,-852.58,-1.0413,-1.9796,-0.57653,4.5541
2.5281,155.59,40.531,1462.4,-1.5413,-0.97959,-0.57653,-8.4459
-1.4719,-109.41,-39.469,-957.58,3.6587,3.0204,1.4235,8.3541
2.5281,112.59,25.531,1120.4,-1.5413,-3.9796,-0.57653,-10.446
-1.4719,-89.412,-34.469,-777.58,-2.3413,3.0204,-0.57653,10.754
-1.4719,-75.412,-7.4694,-572.58,-0.64133,2.0204,1.4235,0.45408
-1.4719,-74.412,-7.4694,-471.58,-1.0413,-3.9796,1.4235,-0.44592
0.52806,30.588,0.53061,461.42,-0.041327,-4.9796,-0.57653,-7.4459
-1.4719,-115.41,-34.469,-903.58,3.9587,-4.9796,0.42347,6.5541
-1.4719,-74.412,-7.4694,-488.58,-0.54133,-1.9796,1.4235,0.55408
-1.4719,-105.41,-44.469,-1009.6,3.2587,4.0204,1.4235,14.654
-1.4719,-78.412,-23.469,-757.58,1.3587,0.020408,0.42347,1.5541
-1.4719,-75.412,-22.469,-257.58,3.8587,6.0204,-0.57653,7.5541
-1.4719,-115.41,-46.469,-1152.6,3.0587,1.0204,0.42347,12.554
-1.4719,-54.412,-14.469,-713.58,-0.041327,-4.9796,-0.57653,4.5541
2.5281,155.59,60.531,1231.4,-3.5413,-4.9796,-0.57653,-9.4459
-1.4719,-72.412,-24.469,-526.58,0.95867,-1.9796,-0.57653,2.5541
0.52806,55.588,-4.4694,351.42,-0.041327,-4.9796,-0.57653,-6.4459
-1.4719,-89.412,-41.469,-852.58,-0.84133,6.0204,-0.57653,14.554
0.52806,5.588,-19.469,12.416,2.6587,3.0204,-0.57653,-3.6459
0.52806,63.588,5.5306,654.42,2.4587,-1.9796,-0.57653,-7.4459
2.5281,259.59,115.53,1376.4,-6.5413,-5.9796,-0.57653,-9.4459
0.52806,55.588,-16.469,324.42,-0.041327,-4.9796,-0.57653,-4.4459
0.52806,55.588,0.53061,919.42,2.9587,-0.97959,-0.57653,-7.4459
-1.4719,-87.412,-18.469,-513.58,-0.041327,0.020408,0.42347,4.5541
-1.4719,-53.412,-33.469,212.42,9.2587,3.0204,0.42347,3.7541
-1.4719,-54.412,-32.469,-412.58,-1.9413,0.020408,-0.57653,3.0541
0.52806,36.588,0.53061,402.42,0.25867,2.0204,-0.57653,-2.8459
-1.4719,-96.412,-41.469,-926.58,1.4587,1.0204,-0.57653,7.0541
2.5281,110.59,40.531,902.42,-3.0413,1.0204,-0.57653,-5.9459
-1.4719,-103.41,-37.469,-1127.6,-1.7413,4.0204,1.4235,21.154
2.5281,110.59,40.531,447.42,-2.3413,2.0204,-0.57653,-4.2459
0.52806,63.588,-9.4694,215.42,2.2587,0.020408,-0.57653,-5.9459
-1.4719,-74.412,-16.469,-817.58,-1.0413,6.0204,1.4235,12.554
-1.4719,-54.412,-16.469,-107.58,2.5587,4.0204,-0.57653,2.9541
-1.4719,-96.412,-44.469,-813.58,6.5587,0.020408,-0.57653,1.0541
0.52806,30.588,5.5306,382.42,1.0587,3.0204,-0.57653,-2.8459
-1.4719,-73.412,10.531,-182.58,0.15867,2.0204,0.42347,-1.8459
