0,1,2,3,4,5,6,7,8,9,10,11,12,target
-3.4688,-11.364,-1.1268,-0.06917,-0.0076951,-0.55363,-3.3749,-1.0358,-3.5494,23.763,-0.65553,34.826,0.95694,-3.2328
-3.5078,-11.364,16.603,-0.06917,0.054305,-0.30163,30.225,-1.9269,-5.5494,302.76,1.6445,33.436,5.4169,-8.9328
-3.5633,23.636,-5.0768,-0.06917,-0.1168,-0.57863,-40.175,2.8457,-8.5494,-104.24,-1.5555,37.346,-0.22306,-5.4328
64.307,-11.364,6.9632,-0.06917,0.1383,-0.60163,31.425,-2.3696,14.451,257.76,1.7445,28.296,10.327,-17.533
-1.2825,-11.364,8.4432,-0.06917,0.3163,-1.0986,25.225,-2.2654,-4.5494,-5.2372,-3.7555,0.31597,15.667,-4.7328
-1.4585,-11.364,8.4432,-0.06917,0.3163,-0.65663,31.425,-2.2784,-4.5494,-5.2372,-3.7555,-187.4,3.9969,-6.9328
14.253,-11.364,6.9632,-0.06917,0.1163,-0.061634,31.425,-2.4089,14.451,257.76,1.7445,37.066,9.1269,-12.333
-3.2821,-11.364,-4.9368,-0.06917,-0.047695,1.9624,1.8251,-0.14314,-1.5494,-101.24,-1.0555,22.276,-8.7031,25.767
5.9822,-11.364,6.9632,-0.06917,0.1383,0.11937,31.425,-2.156,14.451,257.76,1.7445,19.436,7.6569,-10.433
-3.2909,-11.364,10.753,-0.06917,0.069305,-0.34263,24.925,-1.8281,-5.5494,28.763,2.7445,21.576,4.2469,-5.1328
-3.5346,-11.364,1.6932,-0.06917,-0.1177,-0.011634,-62.575,0.45646,-4.5494,-10.237,0.24447,38.246,-5.8731,1.5672
2.2585,-11.364,6.9632,-0.06917,0.1383,0.12037,27.425,-2.1182,14.451,257.76,1.7445,40.226,6.7169,-10.033
-3.5627,-11.364,-5.9468,-0.06917,-0.039695,0.031366,-30.475,2.6634,-4.5494,-184.24,1.7445,33.036,-6.9731,-0.33281
-2.4869,-11.364,8.4432,0.93083,0.3163,-1.2726,19.425,-2.1848,-4.5494,-5.2372,-3.7555,-13.394,-0.53306,-7.2328
10.065,-11.364,6.9632,-0.06917,0.1853,-0.34963,19.325,-1.9744,14.451,257.76,1.7445,-287.72,21.367,-14.133
-3.5217,-11.364,-7.0868,-0.06917,-0.044695,0.13137,15.525,-1.1487,-4.5494,-112.24,-1.8555,38.826,-3.6131,1.0672
-3.3615,-11.364,-0.54678,-0.06917,-0.065695,-0.50163,4.1251,0.55986,-5.5494,-131.24,0.14447,32.756,5.4069,-0.032806
-3.5697,68.636,-7.7668,-0.06917,-0.1567,-0.49763,-37.475,2.8165,-5.5494,-71.237,-2.3555,40.226,-2.4131,-3.1328
-3.4217,-11.364,-3.7568,-0.06917,-0.061695,0.14637,-53.875,1.6209,-4.5494,-121.24,1.1445,37.006,-7.5731,2.0672
-3.5135,22.636,-5.0468,-0.06917,-0.1217,0.69737,-50.875,1.6967,-2.5494,-79.237,-2.3555,33.756,-7.7931,10.567
-3.4877,33.636,-7.6968,-0.06917,-0.1177,0.27137,-39.475,0.77166,-4.5494,-10.237,-3.2555,26.166,-8.0931,7.2672
0.060146,-11.364,6.9632,-0.06917,0.028305,0.027366,-16.675,0.19666,14.451,257.76,1.7445,31.946,-2.0731,-1.3328
-1.9569,-11.364,8.4432,-0.06917,0.3163,-0.16263,28.725,-2.177,-4.5494,-5.2372,-3.7555,16.126,1.4469,-1.0328
4.0585,-11.364,6.9632,-0.06917,0.1383,-0.53763,30.325,-2.1616,14.451,257.76,1.7445,36.426,7.2669,-14.033
-2.3811,-11.364,-2.9968,-0.06917,-0.016695,-0.14263,23.125,0.18186,-5.5494,-101.24,2.5445,40.226,6.0669,-7.3328
-3.5939,68.636,-9.3768,-0.06917,-0.1697,-0.054634,-37.075,5.2942,-8.5494,-167.24,-0.25553,-15.074,0.27694,-2.4328
-3.5824,-11.364,-6.7468,-0.06917,-0.1127,-0.27063,-20.075,4.2186,-6.5494,-56.237,0.34447,28.966,-2.1231,-5.0328
-3.6005,23.636,-9.6168,-0.06917,-0.1127,0.95637,-19.275,3.2429,-8.5494,-124.24,-2.9555,38.066,-7.1631,10.167
-3.4591,13.636,-6.0068,-0.06917,-0.1017,-0.13963,-39.375,4.0198,-1.5494,-124.24,1.2445,34.006,-5.7931,0.76719
21.188,-11.364,6.9632,-0.06917,0.1383,-0.93563,27.425,-2.0922,14.451,257.76,1.7445,40.226,7.1169,-14.233
0.48388,-11.364,8.4432,-0.06917,0.3163,-0.81663,31.425,-2.3832,-4.5494,-5.2372,-3.7555,40.226,13.767,-6.9328
-3.5999,63.636,-7.1368,-0.06917,-0.1447,-0.39663,-20.975,3.5247,-6.5494,60.763,2.6445,40.226,2.1469,-3.6328
-3.515,-11.364,14.513,-0.06917,0.026305,-0.40563,27.225,-1.7887,-7.5494,-220.24,0.64447,22.706,4.9269,-3.7328
-2.2588,-11.364,-2.9968,-0.06917,-0.016695,-0.21263,31.425,0.37996,-5.5494,-101.24,2.5445,20.056,0.38694,-8.0328
-1.1668,-11.364,8.4432,-0.06917,0.3163,-1.0126,25.425,-2.0586,-4.5494,-5.2372,-3.7555,-268.04,3.4869,-9.4328
6.353,-11.364,6.9632,-0.06917,0.1853,0.20037,31.425,-1.8166,14.451,257.76,1.7445,30.056,6.1969,-7.1328
3.9125,-11.364,6.9632,-0.06917,0.1583,0.13237,29.725,-1.61,14.451,257.76,1.7445,-52.464,6.6569,-9.5328
-3.4548,-11.364,-0.32678,-0.06917,-0.1417,-0.32363,-51.075,1.4923,-5.5494,-103.24,0.74447,20.266,-2.7731,-0.83281
-2.8231,-11.364,-1.2368,-0.06917,-0.010695,-0.16263,-15.775,-1.1547,-5.5494,-104.24,-0.055534,40.226,-6.6731,-0.43281
5.7156,-11.364,6.9632,-0.06917,0.1583,-0.099634,30.125,-1.5334,14.451,257.76,1.7445,40.226,5.4769,-8.4328
-3.2953,-11.364,-1.2368,-0.06917,-0.010695,-0.37063,14.625,0.20356,-5.5494,-104.24,-0.055534,34.026,5.6769,-4.7328
-3.1506,-11.364,-4.9368,-0.06917,-0.050695,1.1274,8.3251,-0.12354,-1.5494,-101.24,-1.0555,19.466,-7.4031,9.1672
-3.6026,43.636,-8.8868,-0.06917,-0.1657,0.16837,-36.675,3.5123,-8.5494,-108.24,-3.1555,38.046,-4.4231,-0.53281
-3.578,68.636,-7.4968,-0.06917,-0.1627,-0.40863,-49.475,5.4253,-8.5494,-93.237,-2.0555,38.506,-3.4031,-1.6328
-3.5069,68.636,-9.2268,-0.06917,-0.1417,-0.34863,-49.075,6.7907,-5.5494,-74.237,3.5445,19.366,-7.0831,-1.9328
18.984,-11.364,6.9632,-0.06917,0.1453,-1.2846,20.925,-2.2766,14.451,257.76,1.7445,40.226,19.337,-15.133
7.4946,-11.364,6.9632,-0.06917,0.1133,-1.3786,31.425,-2.6208,14.451,257.76,1.7445,40.226,22.117,-8.7328
-3.534,48.636,-9.4468,-0.06917,-0.1437,0.29437,-32.675,6.9153,-5.5494,2.7628,-0.15553,14.106,-7.1631,1.5672
2.7796,-11.364,6.9632,-0.06917,0.029305,-0.12263,28.825,-1.589,14.451,257.76,1.7445,-53.914,11.447,-9.2328
-3.4631,-11.364,14.513,-0.06917,0.026305,-0.42863,28.425,-1.8506,-7.5494,-220.24,0.64447,13.636,12.757,-5.2328
5.3694,-11.364,6.9632,0.93083,0.2153,-0.072634,28.825,-1.6728,14.451,257.76,1.7445,21.056,4.9469,-4.7328
-3.4357,-11.364,-1.4468,-0.06917,0.030305,-0.71563,4.9251,-1.3951,-3.5494,-17.237,0.74447,39.096,2.4469,-5.0328
-3.5205,-11.364,14.513,-0.06917,0.026305,-0.32363,24.325,-1.7081,-7.5494,-220.24,0.64447,21.416,5.2769,-2.0328
-3.5616,-11.364,-6.6468,-0.06917,-0.1057,-0.26963,-23.475,0.63216,-6.5494,-161.24,0.044466,39.316,0.20694,-0.032806
4.5382,-11.364,6.9632,-0.06917,0.1453,-0.89463,30.325,-2.0669,14.451,257.76,1.7445,40.226,8.1969,-11.033
-3.3544,-11.364,10.753,-0.06917,0.069305,-0.59163,27.425,-2.0067,-5.5494,28.763,2.7445,35.436,4.5369,-6.3328
85.363,-11.364,6.9632,-0.06917,0.1163,0.68337,23.325,-2.3785,14.451,257.76,1.7445,40.226,4.5569,-12.133
-1.164,-11.364,8.4432,-0.06917,0.050305,0.11737,26.625,-1.5325,-4.5494,-5.2372,-3.7555,-26.634,-1.3331,-0.23281
-3.4023,1.1364,-3.2668,-0.06917,-0.030695,-0.65363,31.425,2.2871,-4.5494,-97.237,-3.2555,29.956,17.277,-6.0328
-3.4985,-11.364,-8.2468,-0.06917,-0.1097,-0.12163,1.0251,-0.29984,-7.5494,-132.24,-0.45553,35.156,-1.3131,-1.1328
-3.0929,-11.364,-4.9368,0.93083,-0.047695,0.34637,7.9251,0.35296,-1.5494,-101.24,-1.0555,31.776,-3.1131,2.5672
-3.4421,-11.364,-4.2268,-0.06917,-0.1067,-0.60263,-34.775,1.3054,-6.5494,-175.24,-0.55553,40.226,-2.4431,-3.2328
